Freq	S11	S11ang	S21	S21ang	S12	S12ang	S22	S22ang				
13412550000	-2.62E+00	1.17E+02	1.31E+01	1.65E+02	-3.58E+01	8.69E+01	3.22E+01	6.60E+01				
13502500000	-2.12E+00	1.08E+02	1.34E+01	1.49E+02	-3.70E+01	-2.76E+01	2.68E+01	8.19E+01				
13592450000	-2.35E+00	1.06E+02	1.14E+01	1.24E+02	-5.02E+01	8.81E+01	3.11E+01	6.65E+01				
13682400000	-2.03E+00	1.01E+02	1.13E+01	9.29E+01	-4.36E+01	7.97E+01	2.81E+01	1.04E+02				
13772350000	-1.80E+00	9.25E+01	1.23E+01	7.33E+01	-5.20E+01	3.05E+01	2.92E+01	6.95E+01				
13862300000	-1.71E+00	8.87E+01	1.09E+01	4.65E+01	-3.34E+01	-7.07E+01	3.05E+01	1.11E+02				
13952250000	-1.70E+00	8.38E+01	1.05E+01	1.70E+01	-3.19E+01	-4.11E+01	2.64E+01	7.69E+01				
14042200000	-1.58E+00	7.71E+01	9.74E+00	-5.18E+00	-4.89E+01	-1.11E+02	3.22E+01	1.08E+02				
14132150000	-1.54E+00	7.23E+01	1.01E+01	-3.49E+01	-3.45E+01	1.71E+02	2.50E+01	1.10E+02				
14222100000	-1.70E+00	6.71E+01	8.51E+00	-7.73E+01	-4.40E+01	-6.07E+01	3.28E+01	1.03E+02				
14312050000	-1.47E+00	6.11E+01	5.92E+00	-8.77E+01	-3.47E+01	-1.02E+02	2.83E+01	1.35E+02				
14402000000	-1.37E+00	5.57E+01	4.70E+00	-1.14E+02	-3.52E+01	-6.02E+01	3.25E+01	9.82E+01				
14491950000	-1.19E+00	5.13E+01	4.64E+00	-1.22E+02	-4.41E+01	-1.59E+02	3.16E+01	1.37E+02				
14581900000	-1.28E+00	4.46E+01	6.15E+00	-1.47E+02	-4.02E+01	1.13E+02	3.14E+01	9.43E+01				
14671850000	-1.34E+00	3.95E+01	6.48E+00	-1.71E+02	-4.05E+01	-5.32E+01	3.40E+01	1.32E+02				
14761800000	-9.61E-01	3.48E+01	8.57E+00	1.62E+02	-3.74E+01	-6.69E+01	2.94E+01	9.90E+01				
14851750000	-9.89E-01	2.76E+01	6.25E+00	1.47E+02	-4.45E+01	-1.80E+02	3.51E+01	1.23E+02				
14941700000	-1.16E+00	2.05E+01	5.72E+00	1.27E+02	-3.84E+01	-8.61E+01	2.82E+01	1.19E+02				
15031650000	-1.19E+00	1.64E+01	9.55E+00	1.02E+02	-4.24E+01	1.20E+02	3.54E+01	1.13E+02				
15121600000	-1.51E+00	1.19E+01	1.02E+01	5.61E+01	-4.76E+01	1.11E+02	3.01E+01	1.41E+02				
15211550000	-1.23E+00	7.13E+00	1.07E+01	2.39E+01	-3.65E+01	-6.62E+01	3.45E+01	1.05E+02				
15301500000	-1.30E+00	3.24E+00	1.05E+01	-1.24E+01	-5.22E+01	1.27E+00	3.31E+01	1.45E+02				
15391450000	-1.35E+00	-4.25E+00	9.50E+00	-4.24E+01	-3.64E+01	1.68E+02	3.33E+01	9.98E+01				
15481400000	-9.37E-01	-9.09E+00	8.45E+00	-7.48E+01	-3.88E+01	-1.15E+02	3.55E+01	1.40E+02				
15571350000	-1.17E+00	-1.42E+01	6.98E+00	-1.11E+02	-3.54E+01	1.53E+02	3.10E+01	1.07E+02				
15661300000	-1.35E+00	-1.78E+01	7.36E+00	-1.41E+02	-3.89E+01	1.50E+02	3.64E+01	1.31E+02				
15751250000	-1.17E+00	-2.53E+01	5.26E+00	-1.66E+02	-3.62E+01	1.56E+02	3.06E+01	1.28E+02				
